SentenceId,Sentiment,Phrase
128,3,"Keenly observed and refreshingly natural , Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner ."
129,2,A brilliant gag at the expense of those who paid for it and those who pay to see it .
130,4,"A triumph , a film that hews out a world and carries us effortlessly from darkness to light ."
131,1,Just about everyone involved here seems to be coasting .
132,3,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction ."
133,1,I suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD .
134,1,"It 's hard to say who might enjoy this , are there Tolstoy groupies out there ?"
135,1,Daughter From Danang reveals that efforts toward closure only open new wounds .
136,4,One of the year 's most weirdly engaging and unpredictable character pieces .
137,4,Intriguing and downright intoxicating .
138,1,"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything ."
139,0,"The movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension ."
140,3,Sleek and arty .
141,0,"Poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action ."
142,3,"-LRB- Cho 's face is -RRB- an amazing slapstick instrument , creating a scrapbook of living mug shots ."
143,1,It gets the details of its time frame right but it completely misses its emotions .
144,2,Initial strangeness inexorably gives way to rote sentimentality and mystical tenderness becomes narrative expedience .
145,3,"It lets you brush up against the humanity of a psycho , without making him any less psycho ."
146,1,"Like the world of his film , Hartley created a monster but did n't know how to handle it ."
147,4,"When cowering and begging at the feet a scruffy Giannini , Madonna gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game ."
148,1,Too clumsy in key moments ... to make a big splash .
149,2,"Because Eight Legged Freaks is partly an homage to Them , Tarantula and other low - budget B-movie thrillers of the 1950s and '60s , the movie is a silly -LRB- but not sophomoric -RRB- romp through horror and hellish conditions ."
150,1,"It feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs ."
151,4,Spielberg 's realization of a near-future America is masterful .
152,0,"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces ."
153,3,He 's one of the few ` cool ' actors who never seems aware of his own coolness .
154,1,"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form ."
155,1,... stale and uninspired .
156,3,"In the director 's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes ."
157,3,Has the rare capability to soothe and break your heart with a single stroke .
158,1,Eerily accurate depiction of depression .
159,1,"As a feature-length film , it wears out its welcome as tryingly as the title character ."
160,3,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '"
161,1,The story alone could force you to scratch a hole in your head .
162,3,It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .
163,2,"As any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death ."
164,2,You bet there is and it 's what makes this rather convoluted journey worth taking .
165,3,"Before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience ."
166,1,Kim Ki-Deok seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .
167,0,"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents ."
168,2,A well-made but emotionally scattered film whose hero gives his heart only to the dog .
169,2,"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved ."
170,3,Campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
171,0,Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .
172,3,It 's a sharp movie about otherwise dull subjects .
173,2,"Wallace gets a bit heavy handed with his message at times , and has a visual flair that waxes poetic far too much for our taste ."
174,2,Charming and funny -LRB- but ultimately silly -RRB- movie .
175,2,"... the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house ."
176,0,"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion ."
177,3,This is a children 's film in the truest sense .
178,0,Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .
179,4,"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing ."
180,1,An awkwardly contrived exercise in magic realism .
181,1,"The punch lines that miss , unfortunately , outnumber the hits by three-to-one ."
182,3,"Like Smoke Signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama"
183,3,Evokes the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun .
184,3,"The film aims to be funny , uplifting and moving , sometimes all at once ."
185,2,"At a brief 42 minutes , we need more X and less blab ."
186,2,The Spalding Gray equivalent of a teen gross-out comedy .
187,1,There 's a great deal of corny dialogue and preposterous moments .
188,3,Uneven but a lot of fun .
189,2,The result might look like Vulgar .
190,0,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .
191,3,The dragons are the real stars of Reign of Fire and you wo n't be disappointed .
192,1,It never plays as dramatic even when dramatic things happen to people .
193,3,Manages to please its intended audience -- children -- without placing their parents in a coma-like state .
194,1,The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .
195,2,"Though the film never veers from its comic course , its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous ."
196,1,The film can depress you about life itself .
197,1,"If you saw it on TV , you 'd probably turn it off , convinced that you had already seen that movie ."
198,1,You get the impression that writer and director Burr Steers knows the territory ... but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools .
199,4,This is a superior horror flick .
200,2,The movie 's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness .
201,1,A little weak -- and it is n't that funny .
202,1,But they do n't fit well together and neither is well told .
203,2,Being latently gay and liking to read are hardly enough .
204,3,More sophisticated and literate than such pictures usually are ... an amusing little catch .
205,1,Storytelling feels slight .
206,4,Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .
207,4,It 's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .
208,3,Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .
209,2,"... only Bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction ."
210,0,"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound ."
211,3,Damon brings the proper conviction to his role as -LRB- Jason Bourne -RRB- .
212,1,Parents beware ; this is downright movie penance .
213,3,"When it 's this rich and luscious , who cares ?"
214,1,A singularly off-putting romantic comedy .
215,2,Director Boris von Sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .
216,0,"Would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement ."
217,1,"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find ."
218,3,"An earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool ."
219,1,Cloaks a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds .
220,1,A film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .
221,3,His work transcends the boy-meets-girl posturing of typical love stories .
222,1,"An even more predictable , cliche-ridden endeavor than its predecessor ."
223,0,Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .
224,1,"The script covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people ."
225,0,The film is so bad it does n't improve upon the experience of staring at a blank screen .
226,1,They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .
227,0,"It 's difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 ."
228,3,"Though the film is well-intentioned , one could rent the original and get the same love story and parable ."
229,2,"Jolting into Charleston rhythms , the story has the sizzle of old news that has finally found the right vent -LRB- accurate ?"
230,2,Or both .
231,2,"Williams plays Sy , another of his open-faced , smiling madmen , like the killer in Insomnia ."
232,1,Phoned-in business as usual .
233,1,"With its lackadaisical plotting and mindless action , All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s ."
234,0,"Ah , yes , that would be me : fighting off the urge to doze ."
235,0,"Thoughtless , random , superficial humour and a lot of very bad Scouse accents"
236,3,"In an era where big stars and high production values are standard procedure , Narc strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve ."
237,3,A rip-roaring comedy action fest that 'll put hairs on your chest .
238,4,... a thoughtful what-if for the heart as well as the mind .
239,4,Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .
240,3,"A chronicle not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department ."
241,4,"Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending ."
242,0,Feels strangely hollow at its emotional core .
243,3,"At a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had , Godfrey Reggio 's career shines like a lonely beacon ."
244,2,Director Roger Michell does so many of the little things right that it 's difficult not to cuss him out severely for bungling the big stuff .
245,3,Robert Harmon 's less-is-more approach delivers real bump-in - the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows .
246,4,"This movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of America , history and the awkwardness of human life is generous and deep ."
247,1,Feral and uncomfortable .
248,4,"Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema ."
249,3,"It 's more enjoyable than I expected , though , and that 's because the laughs come from fairly basic comedic constructs ."
250,0,Black-and-white and unrealistic .
251,3,The film is predictable in the reassuring manner of a beautifully sung holiday carol .
252,0,"The only camouflage Carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers ."
253,3,"Not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense ."
254,1,"Some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity ."
255,4,Offers the flash of rock videos fused with solid performances and eerie atmosphere .
256,3,"A breezy blend of art , history , esoteric musings and philosophy ."
257,3,"Now as a former Gong Show addict , I 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show ."
258,3,Genuinely unnerving .
259,4,"The increasingly diverse French director has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history ."
260,3,One of those joyous films that leaps over national boundaries and celebrates universal human nature .
261,2,A difficult but worthy film that bites off more than it can chew by linking the massacre of Armenians in 1915 with some difficult relationships in the present .
262,1,"Halfway through the movie , the humor dwindles ."
263,4,"Witty and often surprising , a dark little morality tale disguised as a romantic comedy ."
264,1,"One senses in World Traveler and in his earlier film that Freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact ."
265,3,"In fact , even better ."
266,2,... a preachy parable stylized with a touch of John Woo bullet ballet .
267,2,Proves that some movie formulas do n't need messing with -- like the big-bug movie .
268,2,"An uplifting , largely bogus story ."
269,4,"Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods ."
270,4,Superbly photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .
271,4,A mesmerizing cinematic poem from the first frame to the last .
272,3,"After the first 10 minutes , which is worth seeing"
273,1,It has become apparent that the franchise 's best years are long past .
274,2,"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability ."
275,1,"Too much of Storytelling moves away from Solondz 's social critique , casting its audience as that of intellectual lector in contemplation of the auteur 's professional injuries ."
276,1,"Ultimately , Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness ."
277,0,"The jokes are flat , and the action looks fake ."
278,2,A mildly enjoyable if toothless adaptation of a much better book .
279,0,Festers in just such a dungpile that you 'd swear you were watching monkeys flinging their feces at you .
280,0,"In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry ."
281,0,"A vile , incoherent mess ... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . '"
282,1,"First , for a movie that tries to be smart , it 's kinda dumb ."
283,2,I was sent a copyof this film to review on DVD .
284,1,... silly humbuggery ...
285,1,"Is n't as sharp as the original ... Despite some visual virtues , ` Blade II ' just does n't cut it ."
286,3,"A smart , arch and rather cold-blooded comedy ."
287,0,-LRB- A -RRB- rather thinly-conceived movie .
288,3,"Its flame-like , roiling black-and-white inspires trembling and gratitude ."
289,4,Robinson 's web of suspense matches the page-turning frenzy that Clancy creates .
290,3,A slight but sweet film .
291,2,Got a David Lynch jones ?
292,2,Earnest and tentative even when it aims to shock .
293,1,Time of Favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation .
294,4,`` Austin Powers in Goldmember '' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .
295,2,What puzzles me is the lack of emphasis on music in Britney Spears ' first movie .
296,2,The filmmakers might want to look it up .
297,4,"While maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest ."
298,4,There is simply no doubt that this film asks the right questions at the right time in the history of our country .
299,0,A dreary movie .
300,1,"Sadly , though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction ."
301,1,"To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit ."
302,3,"Using a stock plot , About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater ."
303,3,"Beating the Austin Powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness ."
304,3,What begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters .
305,2,Buy popcorn .
306,2,A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .
307,1,A well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .
308,2,"-LRB- Allen 's -RRB- been making piffle for a long while , and Hollywood Ending may be his way of saying that piffle is all that the airhead movie business deserves from him right now ."
309,3,"Seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one ."
310,4,Judith and Zaza 's extended bedroom sequence ... is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics .
311,1,Uneven performances and a spotty script add up to a biting satire that has no teeth .
312,0,... irritating soul-searching garbage .
313,3,"A solid , spooky entertainment worthy of the price of a ticket ."
314,2,"Ultimately , clarity matters , both in breaking codes and making movies ."
315,0,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little .
316,2,Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .
317,4,"Except it 's much , much better ."
318,4,"It is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film ."
319,2,There is more than one joke about putting the toilet seat down .
320,2,has -RRB-
321,4,So original in its base concept that you can not help but get caught up .
322,0,It appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .
323,2,"If you ignore the cliches and concentrate on City by the Sea 's interpersonal drama , it ai n't half-bad ."
324,3,"A dreadful day in Irish history is given passionate , if somewhat flawed , treatment ."
325,4,See it .
326,1,Nothing but an episode of Smackdown !
327,2,"A guilty pleasure at best , and not worth seeing unless you want to laugh at it ."
328,1,"Perhaps a better celebration of these unfairly dismissed heroes would be a film that is n't this painfully forced , false and fabricated ."
329,0,A relative letdown .
330,2,` Hey Arnold ! '
331,3,"But though he only scratches the surface , at least he provides a strong itch to explore more ."
332,2,"The band performances featured in Drumline are red hot ... -LRB- but -RRB- from a mere story point of view , the film 's ice cold ."
333,1,A non-mystery mystery .
334,4,Leigh is one of the rare directors who feels acting is the heart and soul of cinema .
335,3,The cast delivers without sham the raw-nerved story .
336,1,"This is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy ."
337,2,The filmmaker 's heart is in the right place ...
338,0,One of the most highly-praised disappointments I 've had the misfortune to watch in quite some time .
339,1,Rock 's stand-up magic wanes .
340,1,Roman Polanski directs The Pianist like a surgeon mends a broken heart ; very meticulously but without any passion .
341,1,"Sadly , ` Garth ' has n't progressed as nicely as ` Wayne . '"
342,2,"With wit and empathy to spare , waydowntown acknowledges the silent screams of workaday inertia but stops short of indulging its characters ' striving solipsism ."
343,1,It labours as storytelling .
344,1,Remember back when thrillers actually thrilled ?
